Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3
2017-01-01 00:00:00,6.559,73.8,0.083,0.051,0.119,34055.6962,16128.87538,20240.96386
2017-01-01 00:10:00,6.414,74.5,0.083,0.07,0.085,29814.68354,19375.07599,20131.08434
2017-01-01 00:20:00,6.313,74.5,0.08,0.062,0.1,29128.10127,19006.68693,19668.43373
2017-01-01 00:30:00,6.121,75,0.083,0.091,0.096,28228.86076,18361.09422,18899.27711
2017-01-01 00:40:00,5.921,75.7,0.081,0.048,0.085,27335.6962,17872.34043,18442.40964
2017-01-01 00:50:00,5.853,76.9,0.081,0.059,0.108,26624.81013,17416.41337,18130.12048
2017-01-01 01:00:00,5.641,77.7,0.08,0.048,0.096,25998.98734,16993.31307,17945.06024
2017-01-01 01:10:00,5.496,78.2,0.085,0.055,0.093,25446.07595,16661.39818,17459.27711
2017-01-01 01:20:00,5.678,78.1,0.081,0.066,0.141,24777.72152,16227.35562,17025.54217
2017-01-01 01:30:00,5.491,77.3,0.082,0.062,0.111,24279.49367,15939.20973,16794.21687
2017-01-01 01:40:00,5.516,77.5,0.081,0.051,0.108,23896.70886,15435.86626,16638.07229
2017-01-01 01:50:00,5.471,76.7,0.083,0.059,0.126,23544.3038,15213.37386,16395.18072
2017-01-01 02:00:00,5.059,78.6,0.081,0.07,0.096,23003.5443,15169.60486,16117.59036
2017-01-01 02:10:00,4.968,78.8,0.084,0.07,0.134,22329.11392,14710.0304,15822.6506
2017-01-01 02:20:00,4.975,78.9,0.083,0.055,0.152,22092.1519,14421.8845,15672.28916
2017-01-01 02:30:00,4.897,79.1,0.083,0.07,0.096,21903.79747,14104.55927,15597.10843
2017-01-01 02:40:00,5.02,79.7,0.081,0.051,0.134,21685.06329,13965.95745,15510.36145
2017-01-01 02:50:00,5.407,78.5,0.082,0.062,0.163,21484.55696,13612.15805,15336.86747
2017-01-01 03:00:00,5.169,77.9,0.083,0.066,0.108,21107.8481,13535.56231,15140.24096
2017-01-01 03:10:00,5.081,77.7,0.084,0.051,0.13,20998.48101,13371.42857,15059.27711
2017-01-01 03:20:00,5.041,77.2,0.081,0.062,0.152,20870.88608,13196.35258,15013.01205
2017-01-01 03:30:00,5.034,76.9,0.083,0.051,0.185,20870.88608,13167.17325,14897.3494
2017-01-01 03:40:00,4.896,76.6,0.085,0.07,0.137,20597.46835,13137.99392,14602.40964
2017-01-01 03:50:00,4.805,76.2,0.081,0.059,0.134,20421.26582,12908.20669,14590.84337
2017-01-01 04:00:00,4.753,75.7,0.083,0.044,0.134,20524.55696,12820.66869,14585.06024
2017-01-01 04:10:00,4.901,74.4,0.083,0.07,0.122,20482.02532,13032.21884,14452.04819
2017-01-01 04:20:00,5.203,74.1,0.085,0.062,0.096,20530.63291,12926.44377,14232.28916
2017-01-01 04:30:00,5.394,71.9,0.081,0.073,0.1,20512.40506,12948.32827,14157.10843
2017-01-01 04:40:00,5.156,74,0.079,0.062,0.148,20494.17722,12922.79635,14232.28916
2017-01-01 04:50:00,5.179,74.2,0.083,0.037,0.137,20311.89873,12879.02736,14243.85542
2017-01-01 05:00:00,4.934,72.9,0.082,0.055,0.134,20542.78481,12806.07903,14243.85542
2017-01-01 05:10:00,4.718,75.8,0.08,0.051,0.152,20621.77215,12853.49544,14105.06024
2017-01-01 05:20:00,5.546,74,0.082,0.055,0.093,20627.8481,12842.55319,14266.98795
2017-01-01 05:30:00,4.658,73.5,0.08,0.044,0.104,20797.97468,13137.99392,14353.73494
2017-01-01 05:40:00,4.382,76.9,0.081,0.073,0.148,20858.73418,13203.64742,14538.79518
2017-01-01 05:50:00,4.212,78.3,0.081,0.117,0.082,21393.41772,13575.68389,14862.6506
2017-01-01 06:00:00,4.308,77.2,0.081,0.062,0.126,22219.74684,14068.08511,14908.91566
2017-01-01 06:10:00,4.735,74.3,0.08,0.04,0.156,21928.10127,13852.88754,14729.63855
2017-01-01 06:20:00,4.769,75.6,0.082,0.099,0.063,21776.20253,13626.74772,14625.54217
2017-01-01 06:30:00,4.92,73.7,0.083,0.099,0.096,21654.68354,13582.97872,14480.96386
2017-01-01 06:40:00,4.408,76.7,0.082,0.037,0.119,21466.32911,13539.20973,14319.03614
2017-01-01 06:50:00,4.29,77,0.085,0.033,0.193,20846.58228,12908.20669,14018.31325
2017-01-01 07:00:00,4.304,76,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819
2017-01-01 07:10:00,4.513,74.6,0.084,0.055,0.134,18908.35443,11897.87234,12630.36145
2017-01-01 07:20:00,4.489,74.3,0.082,0.081,0.119,18167.08861,11551.36778,11600.96386
2017-01-01 07:30:00,4.356,72.3,0.082,0.07,0.119,18075.94937,11263.22188,10640.96386
2017-01-01 07:40:00,4.478,72.2,0.083,0.073,0.089,18063.79747,10719.75684,10455.90361
2017-01-01 07:50:00,4.583,71,0.083,0.066,0.104,18045.56962,10924.01216,10496.38554
2017-01-01 08:00:00,4.794,72,0.084,0.187,0.145,18385.82278,10949.54407,10710.36145
2017-01-01 08:10:00,4.807,73.1,0.082,0.955,0.949,18987.34177,11347.11246,10837.59036
2017-01-01 08:20:00,4.757,73.5,0.083,3.188,3.134,19576.70886,11733.7386,10941.68675
